Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
250019,Abella de la Conca,3,6,-3,1,1,0,1,0,1,-2
080018,Abrera,454,482,-28,74,46,28,94,109,-15,-15
250024,Àger,31,15,16,0,1,-1,10,0,10,25
250030,Agramunt,132,153,-21,33,29,4,56,54,2,-15
080023,Aguilar de Segarra,19,8,11,0,1,-1,0,0,0,10
170010,Agullana,42,40,2,4,5,-1,16,44,-28,-27
080142,Aiguafreda,143,132,11,5,6,-1,13,14,-1,9
430017,Aiguamúrcia,47,48,-1,7,1,6,6,0,6,11
170025,Aiguaviva,33,41,-8,2,0,2,2,6,-4,-10
250387,Aitona,51,65,-14,38,27,11,93,67,26,23
250045,"Alamús, els",35,20,15,1,0,1,9,3,6,22
250058,Alàs i Cerc,9,15,-6,0,0,0,0,0,0,-6
250061,"Albagés, l'",2,6,-4,2,6,-4,1,4,-3,-11
170031,Albanyà,12,20,-8,5,0,5,3,0,3,0
250077,Albatàrrec,95,92,3,32,27,5,95,51,44,52
250083,Albesa,13,40,-27,14,7,7,58,37,21,1
250096,"Albi, l'",16,35,-19,0,0,0,10,2,8,-11
430022,Albinyana,166,138,28,2,7,-5,16,8,8,31
430038,"Albiol, l'",23,43,-20,1,1,0,5,1,4,-16
170046,Albons,50,54,-4,7,4,3,11,6,5,4
430043,Alcanar,225,201,24,93,114,-21,145,182,-37,-34
250100,Alcanó,4,10,-6,0,0,0,0,0,0,-6
250117,Alcarràs,264,277,-13,97,79,18,223,241,-18,-13
250122,Alcoletge,121,187,-66,37,15,22,48,4,44,0
430056,Alcover,118,160,-42,16,19,-3,32,13,19,-26
439044,"Aldea, l'",105,134,-29,22,13,9,72,39,33,13
430069,Aldover,18,19,-1,3,4,-1,7,2,5,3
430075,"Aleixar, l'",16,12,4,2,4,-2,2,1,1,3
080039,Alella,546,386,160,56,36,20,113,65,48,228
430081,Alfara de Carles,10,3,7,9,4,5,0,1,-1,11
250138,Alfarràs,48,87,-39,22,20,2,23,22,1,-36
250143,Alfés,12,19,-7,3,0,3,4,0,4,0
430094,Alforja,106,83,23,9,4,5,10,2,8,36
250156,Algerri,15,25,-10,0,3,-3,1,0,1,-12
250169,Alguaire,73,119,-46,24,19,5,32,21,11,-30
250175,Alins,14,12,2,1,1,0,1,3,-2,0
430108,Alió,33,21,12,1,0,1,1,0,1,14
250194,Almacelles,119,171,-52,72,86,-14,77,19,58,-8
250208,Almatret,4,6,-2,2,5,-3,5,4,1,-4
250215,Almenar,88,112,-24,26,30,-4,56,46,10,-18
430115,Almoster,48,66,-18,4,1,3,6,0,6,-9
250220,Alòs de Balaguer,10,2,8,3,1,2,0,1,-1,9
170062,Alp,93,61,32,37,18,19,25,18,7,58
080044,Alpens,12,7,5,0,1,-1,0,6,-6,-2
250236,Alpicat,156,180,-24,19,26,-7,47,52,-5,-36
250241,Alt Àneu,10,11,-1,4,1,3,1,1,0,2
430120,Altafulla,238,239,-1,20,28,-8,67,45,22,13
170078,Amer,111,95,16,7,13,-6,19,8,11,21
430136,"Ametlla de Mar, l'",158,189,-31,42,49,-7,109,270,-161,-199
080057,"Ametlla del Vallès, l'",449,336,113,25,26,-1,49,35,14,126
439060,"Ampolla, l'",136,168,-32,26,29,-3,76,116,-40,-75
430141,Amposta,574,504,70,141,138,3,226,110,116,189
170084,Anglès,212,237,-25,35,25,10,112,36,76,61
250273,Anglesola,35,41,-6,3,6,-3,15,18,-3,-12
250292,Arbeca,41,64,-23,8,13,-5,21,0,21,-7
430167,"Arboç, l'",233,233,0,28,42,-14,106,57,49,35
430154,Arbolí,5,12,-7,0,1,-1,0,0,0,-8
170097,Arbúcies,186,158,28,35,30,5,124,33,91,124
080060,Arenys de Mar,796,631,165,77,83,-6,176,85,91,250
080076,Arenys de Munt,444,338,106,37,35,2,56,18,38,146
170101,Argelaguer,23,23,0,1,2,-1,4,2,2,1
080082,Argençola,10,14,-4,0,0,0,0,0,0,-4
430173,"Argentera, l'",0,6,-6,0,0,0,0,0,0,-6
080095,Argentona,568,452,116,35,40,-5,90,41,49,160
170118,"Armentera, l'",49,44,5,2,3,-1,12,2,10,14
430189,Arnes,21,9,12,1,8,-7,6,3,3,8
250313,Arres,4,0,4,0,0,0,0,0,0,4
250328,Arsèguel,8,4,4,1,0,1,0,0,0,5
080109,Artés,223,190,33,26,14,12,50,19,31,76
250334,Artesa de Lleida,31,36,-5,10,7,3,19,18,1,-1
250349,Artesa de Segre,79,131,-52,6,11,-5,51,28,23,-34
430192,Ascó,42,45,-3,7,13,-6,6,1,5,-4
250365,Aspa,8,6,2,0,0,0,0,0,0,2
250371,"Avellanes i Santa Linya, les",21,20,1,5,0,5,2,4,-2,4
080116,Avià,77,79,-2,5,5,0,17,9,8,6
080121,Avinyó,108,86,22,21,13,8,12,8,4,34
170123,Avinyonet de Puigventós,126,81,45,5,14,-9,6,4,2,38
080137,Avinyonet del Penedès,93,92,1,8,5,3,16,8,8,12
080155,Badalona,6846,6357,489,1208,1137,71,3922,2358,1564,2124
089045,Badia del Vallès,392,433,-41,76,69,7,69,29,40,6
080168,Bagà,89,86,3,5,4,1,12,6,6,10
250390,Baix Pallars,16,26,-10,2,1,1,4,2,2,-7
250404,Balaguer,479,464,15,118,119,-1,406,198,208,222
080174,Balenyà,191,117,74,17,21,-4,39,6,33,103
080180,Balsareny,69,74,-5,8,14,-6,18,9,9,-2
430206,Banyeres del Penedès,168,160,8,13,14,-1,26,16,10,17
170157,Banyoles,580,470,110,82,91,-9,294,147,147,248
250411,Barbens,21,34,-13,9,10,-1,57,8,49,35
430213,Barberà de la Conca,17,24,-7,3,1,2,6,0,6,1
082520,Barberà del Vallès,1060,1200,-140,156,131,25,189,90,99,-16
080193,Barcelona,28246,37468,-9222,15367,12828,2539,58855,39136,19719,13036
250426,"Baronia de Rialb, la",3,4,-1,0,0,0,1,0,1,0
170160,Bàscara,45,42,3,2,4,-2,10,4,6,7
250447,Bassella,5,6,-1,0,0,0,5,3,2,1
430228,Batea,8,19,-11,10,12,-2,13,3,10,-3
250450,Bausen,0,3,-3,1,1,0,0,0,0,-3
080207,Begues,328,244,84,38,45,-7,75,31,44,121
170139,Begur,137,173,-36,13,19,-6,88,58,30,-12
250463,Belianes,22,9,13,1,1,0,3,3,0,13
251706,Bellaguarda,10,10,0,0,0,0,0,0,0,0
170182,Bellcaire d'Empordà,41,40,1,6,2,4,2,2,0,5
250479,Bellcaire d'Urgell,41,28,13,8,4,4,11,9,2,19
250485,Bell-lloc d'Urgell,65,73,-8,10,7,3,18,31,-13,-18
250498,Bellmunt d'Urgell,10,2,8,0,0,0,0,0,0,8
430234,Bellmunt del Priorat,11,4,7,0,0,0,1,8,-7,0
080214,Bellprat,1,1,0,0,1,-1,0,0,0,-1
250501,Bellpuig,187,158,29,34,19,15,108,128,-20,24
430249,Bellvei,114,132,-18,11,9,2,28,14,14,-2
250518,Bellver de Cerdanya,95,92,3,12,11,1,15,6,9,13
250523,Bellvís,48,58,-10,6,8,-2,27,29,-2,-14
250539,Benavent de Segrià,63,47,16,8,6,2,9,5,4,22
430252,Benifallet,7,18,-11,1,0,1,13,3,10,0
430265,Benissanet,32,40,-8,6,7,-1,20,19,1,-8
080229,Berga,470,448,22,82,80,2,331,166,165,189
170195,Besalú,69,54,15,7,7,0,37,12,25,40
170209,Bescanó,141,150,-9,10,16,-6,21,7,14,-1
170216,Beuda,16,14,2,2,0,2,1,1,0,4
080235,Bigues i Riells del Fai,447,395,52,33,35,-2,23,25,-2,48
250557,Biosca,6,10,-4,0,0,0,0,0,0,-4
170221,"Bisbal d'Empordà, la",334,309,25,54,43,11,171,123,48,84
430271,"Bisbal de Falset, la",7,5,2,0,0,0,0,1,-1,1
430287,"Bisbal del Penedès, la",205,174,31,20,25,-5,16,19,-3,23
172348,Biure,17,8,9,0,0,0,1,2,-1,8
430290,Blancafort,19,20,-1,5,3,2,1,4,-3,-2
170237,Blanes,1251,1181,70,293,292,1,626,500,126,197
170293,Boadella i les Escaules,11,13,-2,0,0,0,4,0,4,2
170242,Bolvir,22,21,1,4,2,2,3,3,0,3
430304,Bonastre,56,39,17,1,1,0,5,2,3,20
250576,"Bòrdes, Es",30,19,11,5,0,5,2,2,0,16
170255,Bordils,84,74,10,7,6,1,17,27,-10,1
250582,"Borges Blanques, les",198,181,17,30,30,0,55,61,-6,11
430311,"Borges del Camp, les",91,82,9,11,4,7,9,3,6,22
170268,Borrassà,22,23,-1,1,2,-1,3,1,2,0
080240,Borredà,20,35,-15,1,2,-1,1,0,1,-15
250595,Bossòst,41,34,7,18,19,-1,9,4,5,11
430326,Bot,9,16,-7,0,1,-1,11,0,11,3
430332,Botarell,38,56,-18,5,5,0,13,5,8,-10
250560,Bovera,3,10,-7,1,0,1,1,0,1,-5
430347,Bràfim,25,23,2,2,2,0,5,4,1,3
170274,Breda,118,128,-10,11,13,-2,21,8,13,1
080253,"Bruc, el",128,94,34,14,7,7,13,11,2,43
080266,"Brull, el",8,9,-1,1,0,1,0,2,-2,-2
170280,Brunyola i Sant Martí Sapresa,14,16,-2,1,0,1,5,3,2,1
430350,Cabacés,5,10,-5,1,1,0,2,1,1,-4
250609,Cabanabona,4,4,0,0,0,0,0,0,0,0
170314,Cabanelles,26,21,5,0,0,0,6,6,0,5
170307,Cabanes,53,23,30,5,3,2,19,14,5,37
080272,"Cabanyes, les",42,26,16,2,1,1,3,5,-2,15
250616,Cabó,4,0,4,0,0,0,0,0,0,4
430363,Cabra del Camp,65,58,7,5,3,2,9,0,9,18
080288,Cabrera d'Anoia,108,86,22,6,12,-6,4,1,3,19
080291,Cabrera de Mar,248,198,50,34,22,12,29,25,4,66
080305,Cabrils,323,353,-30,19,37,-18,142,48,94,46
170329,Cadaqués,69,74,-5,40,33,7,45,81,-36,-34
080312,Calaf,133,124,9,17,12,5,70,32,38,52
430379,Calafell,1684,1441,243,269,208,61,568,216,352,656
080348,Calders,44,71,-27,3,2,1,5,2,3,-23
080327,Caldes d'Estrac,217,181,36,21,27,-6,49,32,17,47
170335,Caldes de Malavella,391,326,65,38,31,7,85,46,39,111
080333,Caldes de Montbui,695,493,202,70,96,-26,139,86,53,229
080351,Calella,918,713,205,137,129,8,450,241,209,422
080370,Calldetenes,115,78,37,9,8,1,10,2,8,46
080386,Callús,105,103,2,11,7,4,20,2,18,24
080364,Calonge de Segarra,3,8,-5,0,0,0,1,0,1,-4
170340,Calonge i Sant Antoni,538,526,12,69,66,3,235,143,92,107
250621,Camarasa,27,34,-7,4,4,0,3,2,1,-6
439039,Camarles,81,84,-3,13,16,-3,44,10,34,28
430385,Cambrils,1398,1202,196,370,326,44,802,404,398,638
170353,Camós,20,14,6,1,0,1,1,5,-4,3
170366,Campdevànol,89,83,6,5,8,-3,11,12,-1,2
170372,Campelles,8,11,-3,0,0,0,1,1,0,-3
080399,Campins,36,37,-1,3,2,1,8,0,8,8
170388,Campllong,21,12,9,0,1,-1,4,1,3,11
170391,Camprodon,123,82,41,12,9,3,32,21,11,55
250637,Canejan,2,3,-1,1,2,-1,1,0,1,-1
170405,Canet d'Adri,29,19,10,2,5,-3,2,1,1,8
080403,Canet de Mar,699,490,209,78,54,24,140,99,41,274
439076,"Canonja, la",236,196,40,19,28,-9,25,43,-18,13
080410,Canovelles,661,663,-2,85,61,24,339,122,217,239
080425,Cànoves i Samalús,186,124,62,16,6,10,16,10,6,78
170412,Cantallops,9,20,-11,0,1,-1,11,0,11,-1
080431,Canyelles,260,214,46,30,27,3,63,8,55,104
430398,Capafonts,8,13,-5,0,0,0,0,0,0,-5
430402,Capçanes,2,8,-6,1,0,1,3,0,3,-2
080446,Capellades,214,227,-13,27,21,6,25,13,12,5
170427,Capmany,18,22,-4,6,7,-1,4,5,-1,-6
080459,Capolat,4,8,-4,0,0,0,1,0,1,-3
080462,Cardedeu,693,653,40,73,51,22,120,82,38,100
080478,Cardona,84,110,-26,7,19,-12,20,3,17,-21
080484,Carme,22,30,-8,2,3,-1,12,0,12,3
430419,Caseres,6,0,6,0,1,-1,0,4,-4,1
170448,Cassà de la Selva,390,379,11,58,37,21,123,24,99,131
080497,Casserres,77,48,29,0,3,-3,2,3,-1,25
080575,Castell de l'Areny,7,3,4,0,0,0,0,0,0,4
259046,Castell de Mur,3,4,-1,0,1,-1,0,0,0,-2
250642,Castellar de la Ribera,1,4,-3,0,0,0,0,1,-1,-4
080522,Castellar de n'Hug,12,11,1,4,0,4,1,2,-1,4
080500,Castellar del Riu,8,9,-1,0,0,0,0,0,0,-1
080517,Castellar del Vallès,844,643,201,91,104,-13,116,75,41,229
080538,Castellbell i el Vilar,172,168,4,9,24,-15,22,8,14,3
080543,Castellbisbal,454,418,36,43,63,-20,83,41,42,58
080556,Castellcir,40,39,1,1,2,-1,9,0,9,9
250674,Castelldans,21,30,-9,9,6,3,8,13,-5,-11
080569,Castelldefels,2357,2482,-125,564,588,-24,1821,1061,760,611
080581,Castellet i la Gornal,121,104,17,3,10,-7,16,12,4,14
170464,Castellfollit de la Roca,50,36,14,2,5,-3,8,13,-5,6
080608,Castellfollit de Riubregós,7,10,-3,0,1,-1,0,0,0,-4
080594,Castellfollit del Boix,17,8,9,1,2,-1,1,2,-1,7
080615,Castellgalí,151,115,36,8,18,-10,5,3,2,28
080620,Castellnou de Bages,80,52,28,3,3,0,0,3,-3,25
250680,Castellnou de Seana,31,24,7,3,1,2,1,5,-4,5
170470,Castelló d'Empúries,409,449,-40,99,104,-5,406,369,37,-8
250693,Castelló de Farfanya,38,30,8,0,0,0,3,2,1,9
080636,Castellolí,19,9,10,0,0,0,0,2,-2,8
170486,Castell-Platja d'Aro,538,534,4,89,73,16,381,412,-31,-11
250707,Castellserà,29,26,3,0,1,-1,1,7,-6,-4
080641,Castellterçol,148,109,39,9,5,4,24,6,18,61
430424,Castellvell del Camp,105,101,4,6,2,4,17,4,13,21
080654,Castellví de la Marca,56,59,-3,2,10,-8,12,6,6,-5
080667,Castellví de Rosanes,159,117,42,6,13,-7,10,2,8,43
430430,"Catllar, el",266,164,102,17,19,-2,27,25,2,102
250714,Cava,0,6,-6,0,0,0,1,0,1,-5
171899,"Cellera de Ter, la",77,93,-16,6,6,0,11,13,-2,-18
170499,Celrà,187,204,-17,31,23,8,77,71,6,-3
080673,Centelles,225,217,8,21,24,-3,38,15,23,28
082687,Cercs,44,54,-10,3,4,-1,13,2,11,0
082665,Cerdanyola del Vallès,1666,1821,-155,304,304,0,995,702,293,138
080689,Cervelló,454,415,39,43,50,-7,63,23,40,72
250729,Cervera,263,223,40,37,49,-12,122,64,58,86
250735,Cervià de les Garrigues,10,12,-2,0,0,0,1,2,-1,-3
170502,Cervià de Ter,56,34,22,1,1,0,13,6,7,29
170519,Cistella,13,21,-8,2,0,2,2,0,2,-4
250740,Ciutadilla,10,7,3,1,0,1,0,0,0,4
250753,Clariana de Cardener,3,3,0,0,0,0,0,0,0,0
250766,"Cogul, el",10,6,4,0,0,0,2,0,2,6
170545,Colera,16,35,-19,2,2,0,4,20,-16,-35
250772,Coll de Nargó,12,21,-9,4,2,2,4,0,4,-3
080692,Collbató,231,199,32,17,6,11,28,7,21,64
430458,Colldejou,4,6,-2,1,1,0,0,0,0,-2
080706,Collsuspina,20,18,2,1,1,0,0,2,-2,0
170558,Colomers,11,12,-1,0,0,0,0,0,0,-1
251636,"Coma i la Pedra, la",21,13,8,0,0,0,0,0,0,8
251615,Conca de Dalt,8,25,-17,0,0,0,4,2,2,-15
430461,Conesa,5,7,-2,0,0,0,0,4,-4,-6
430477,Constantí,229,255,-26,59,52,7,74,41,33,14
080713,Copons,11,25,-14,2,2,0,2,2,0,-14
430483,Corbera d'Ebre,16,28,-12,3,9,-6,10,0,10,-8
080728,Corbera de Llobregat,687,557,130,54,77,-23,122,58,64,171
250788,Corbins,36,37,-1,13,9,4,19,8,11,14
170577,Corçà,50,47,3,4,12,-8,7,6,1,-4
080734,Cornellà de Llobregat,2843,2954,-111,504,439,65,1500,1133,367,321
170561,Cornellà del Terri,117,97,20,17,9,8,21,9,12,40
430496,Cornudella de Montsant,36,26,10,11,4,7,7,1,6,23
430509,Creixell,301,268,33,35,19,16,35,15,20,69
170583,Crespià,13,21,-8,3,3,0,6,2,4,-4
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",53,66,-13,6,9,-3,12,3,9,-7
080749,Cubelles,976,807,169,123,106,17,196,108,88,274
250791,Cubells,7,23,-16,1,0,1,5,0,5,-10
430516,Cunit,1031,766,265,128,76,52,199,98,101,418
170600,Darnius,22,27,-5,2,3,-1,10,1,9,3
170617,Das,10,10,0,0,1,-1,4,0,4,3
439018,Deltebre,245,260,-15,60,53,7,88,47,41,33
080752,Dosrius,339,292,47,13,34,-21,42,17,25,51
430537,Duesaigües,5,12,-7,0,1,-1,2,0,2,-6
170622,"Escala, l'",288,385,-97,60,55,5,198,62,136,44
080765,Esparreguera,813,759,54,145,135,10,198,112,86,150
170638,Espinelves,16,17,-1,0,0,0,2,0,2,1
250812,"Espluga Calba, l'",4,9,-5,2,1,1,2,0,2,-2
430542,"Espluga de Francolí, l'",90,111,-21,16,15,1,28,7,21,1
080771,Esplugues de Llobregat,1875,1904,-29,247,265,-18,839,238,601,554
170643,Espolla,8,6,2,0,2,-2,2,0,2,2
170656,Esponellà,20,18,2,4,1,3,0,10,-10,-5
250827,Espot,6,10,-4,4,7,-3,2,3,-1,-8
080787,"Espunyola, l'",26,6,20,0,0,0,0,0,0,20
082541,"Esquirol, l'",71,73,-2,6,6,0,13,6,7,5
250886,Estamariu,1,6,-5,0,0,0,0,0,0,-5
080790,"Estany, l'",18,22,-4,0,2,-2,1,0,1,-5
250851,Estaràs,4,5,-1,0,0,0,0,0,0,-1
250864,Esterri d'Àneu,29,27,2,6,14,-8,13,18,-5,-11
250870,Esterri de Cardós,0,2,-2,2,0,2,1,0,1,1
430555,Falset,66,80,-14,11,8,3,34,16,18,7
170059,"Far d'Empordà, el",21,18,3,1,2,-1,2,3,-1,1
250899,Farrera,8,7,1,0,0,0,1,0,1,2
430568,"Fatarella, la",6,8,-2,3,1,2,1,0,1,1
430574,"Febró, la",0,0,0,0,0,0,1,0,1,1
081347,Figaró-Montmany,92,52,40,11,5,6,9,11,-2,44
080804,Fígols,2,2,0,0,0,0,0,0,0,0
259084,Fígols i Alinyà,11,4,7,0,0,0,2,0,2,9
430580,"Figuera, la",8,5,3,0,0,0,1,0,1,4
170669,Figueres,1499,1561,-62,374,335,39,1087,856,231,208
430593,Figuerola del Camp,17,33,-16,1,1,0,0,1,-1,-17
170675,Flaçà,55,43,12,5,0,5,19,4,15,32
430607,Flix,59,115,-56,18,20,-2,35,9,26,-32
250925,"Floresta, la",4,5,-1,2,0,2,0,2,-2,-1
080826,Fogars de la Selva,106,93,13,6,1,5,10,12,-2,16
080811,Fogars de Montclús,29,24,5,0,3,-3,6,1,5,7
170681,Foixà,10,14,-4,1,0,1,0,2,-2,-5
080832,Folgueroles,50,73,-23,1,4,-3,4,2,2,-24
250931,Fondarella,50,45,5,3,7,-4,0,2,-2,-1
080847,Fonollosa,67,48,19,2,1,1,10,0,10,30
170694,Fontanals de Cerdanya,30,19,11,3,3,0,1,3,-2,9
170708,Fontanilles,1,5,-4,2,0,2,4,1,3,1
170715,Fontcoberta,41,49,-8,2,5,-3,7,1,6,-5
080850,Font-rubí,46,38,8,7,2,5,5,5,0,13
250946,Foradada,11,6,5,0,0,0,1,0,1,6
179026,Forallac,78,62,16,4,2,2,7,3,4,22
430614,Forès,2,4,-2,0,0,0,1,0,1,-1
170736,Fornells de la Selva,125,117,8,8,3,5,20,7,13,26
170741,Fortià,46,35,11,1,5,-4,5,3,2,9
080863,"Franqueses del Vallès, les",885,837,48,110,91,19,236,164,72,139
430629,Freginals,10,24,-14,2,0,2,0,1,-1,-13
250962,"Fuliola, la",32,39,-7,5,6,-1,16,8,8,0
250978,Fulleda,1,5,-4,0,0,0,2,0,2,-2
080902,Gaià,14,10,4,0,1,-1,1,2,-1,2
430635,"Galera, la",29,23,6,3,3,0,6,2,4,10
080879,Gallifa,2,13,-11,0,0,0,2,0,2,-9
430640,Gandesa,69,39,30,12,8,4,31,60,-29,5
